huspacy ner , emagyar lemma,,,
True,|O|,|O|,,(ELNÖK ELNÖK)
True,|O|,|O|,,(: :)
True,|O|,|O|,,(( ()
True,|O|,|O|,,(A A)
True,|O|,|O|,,(teremben teremben)
True,|O|,|O|,,(lévők lévők)
True,|O|,|O|,,(felállnak felállnak)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(és és)
True,|O|,|O|,,(ezzel ezzel)
True,|O|,|O|,,(köszöntik köszöntik)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(választópolgárok választópolgárok)
True,|O|,|O|,,(közösségét közösségét)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Amikor Amikor)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(ülést ülést)
True,|O|,|O|,,(vezető vezető)
True,|O|,|O|,,(elnök elnök)
True,|O|,|O|,,(helyet helyet)
True,|O|,|O|,,(foglal foglal)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(a a)
True,|O|,|O|,,(teremben teremben)
True,|O|,|O|,,(lévők lévők)
True,|O|,|O|,,(is is)
True,|O|,|O|,,(leülnek leülnek.)
huspacy,|O|,,,(.)
True,|O|,|O|,,() ))
True,|O|,|O|,,(Tisztelt Tisztelt)
True,|O|,|O|,,(Képviselőtársaim Képviselőtársaim)
True,|O|,|O|,,(! !)
True,|O|,|O|,,(Az Az)
True,|B-ORG|,|B-ORG|,,(Országgyűlés Országgyűlés)
True,|O|,|O|,,(nyári nyári)
True,|O|,|O|,,(rendkívüli rendkívüli)
True,|O|,|O|,,(ülésének ülésének)
True,|O|,|O|,,(1. 1.)
True,|O|,|O|,,(ülésnapját ülésnapját)
True,|O|,|O|,,(megnyitom megnyitom)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Tájékoztatom Tájékoztatom)
True,|O|,|O|,,(önöket önöket)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(ülés ülés)
True,|O|,|O|,,(vezetésében vezetésében)
True,|B-PER|,|B-PER|,,(Szűcs Szűcs)
True,|I-PER|,|I-PER|,,(Lajos Lajos)
True,|O|,|O|,,(és és)
True,|B-PER|,|B-PER|,,(Hiszékeny Hiszékeny)
True,|I-PER|,|I-PER|,,(Dezső Dezső)
True,|O|,|O|,,(jegyző jegyző)
True,|O|,|O|,,(urak urak)
True,|O|,|O|,,(lesznek lesznek)
True,|O|,|O|,,(segítségemre segítségemre)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Köszöntök Köszöntök)
True,|O|,|O|,,(mindenkit mindenkit)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(aki aki)
True,|O|,|O|,,(figyelemmel figyelemmel)
True,|O|,|O|,,(kíséri kíséri)
True,|O|,|O|,,(munkánkat munkánkat)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Tisztelt Tisztelt)
False,|O|,|B-ORG|,,(Ház Ház)
True,|O|,|O|,,(! !)
True,|O|,|O|,,(Tájékoztatom Tájékoztatom)
True,|O|,|O|,,(önöket önöket)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(kormány kormány)
True,|O|,|O|,,(az az)
False,|B-ORG|,|O|,,(Országgyűlésről Országgyűlésről)
True,|O|,|O|,,(szóló szóló)
True,|O|,|O|,,(törvény törvény)
True,|O|,|O|,,(35. 35.)
True,|O|,|O|,,(§ §)
True,|O|,|O|,,(( ()
True,|O|,|O|,,(1 1))
huspacy,|O|,,,())
True,|O|,|O|,,(bekezdésében bekezdésében)
True,|O|,|O|,,(foglaltak foglaltak)
True,|O|,|O|,,(alapján alapján)
True,|O|,|O|,,(az az)
True,|B-ORG|,|B-ORG|,,(Országgyűlés Országgyűlés)
True,|O|,|O|,,(rendkívüli rendkívüli)
True,|O|,|O|,,(ülésének ülésének)
True,|O|,|O|,,(összehívását összehívását)
True,|O|,|O|,,(kezdeményezte kezdeményezte)
True,|O|,|O|,,(2022. 2022.)
True,|O|,|O|,,(június június)
True,|O|,|O|,,(20-a 20-a)
True,|O|,|O|,,(és és)
True,|O|,|O|,,(június június)
True,|O|,|O|,,(24e 24e)
True,|O|,|O|,,(közötti közötti)
True,|O|,|O|,,(időre időre)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(A A)
True,|O|,|O|,,(levelet levelet)
True,|O|,|O|,,(és és)
True,|O|,|O|,,(annak annak)
True,|O|,|O|,,(mellékletét mellékletét)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(valamint valamint)
