mind a 4 egyenlő-e,huspacy sima pos,huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,huspacy token,emagyar token
False,|PROPN|,|PROPN|,|[]|,|NOUN|,ELNÖK,ELNÖK
False,|NOUN|,|ADJ|,|[]|,|ADJ|,|lévők|,|lévők|
False,|ADV|,|ADV|,|[]|,|PRON|,|Amikor|,|Amikor|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|lévők|,|lévők|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|NOUN|,|[]|,|PRON|,|önöket|,|önöket|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Hiszékeny|,|Hiszékeny|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Ház|,|Ház|
False,|NOUN|,|NOUN|,|[]|,|PRON|,|önöket|,|önöket|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlésről|,|Országgyűlésről|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|1|,|1)|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|foglaltak|,|foglaltak|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|24e|,|24e|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|PROPN|,|[]|,|ADJ|,|Elsőként|,|Elsőként|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Ungár|,|Ungár|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|LMP|,|LMP|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|UNGÁR|,|UNGÁR|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|LMP|,|LMP|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|NOUN|,|[]|,|PROPN|,|EU-integráció|,|EU-integráció|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|DET|,|DET|,|[]|,|NUM|,|sok|,|sok|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|DET|,|DET|,|[]|,|NUM|,|több|,|több|
False,|DET|,|NUM|,|[]|,|NUM|,|keveset|,|keveset|
False,|DET|,|DET|,|[]|,|PRON|,|azokról|,|azokról|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Piketty|,|Piketty|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Uniótól|,|Uniótól|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|nyugat-európaiaknak|,|nyugat-európaiaknak|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|zöldek|,|zöldek|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Unió|,|Unió|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Uniót|,|Uniót|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Egyesült|,|Egyesült|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Unió|,|Unió|
False,|DET|,|DET|,|[]|,|NUM|,|legtöbb|,|legtöbb|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|AUX|,|AUX|,|[]|,|VERB|,|fognak|,|fognak|
False,|DET|,|DET|,|[]|,|PRON|,|azoknak|,|azoknak|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
