huspacy ner == emagyar ner,husoacy ner,emagyar ner,huspacy token,emagyar token
True,|O|,|O|,|:|,|:|
True,|O|,|O|,|(|,|(|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|teremben|,|teremben|
True,|O|,|O|,|lévők|,|lévők|
True,|O|,|O|,|felállnak|,|felállnak|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|ezzel|,|ezzel|
True,|O|,|O|,|köszöntik|,|köszöntik|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|választópolgárok|,|választópolgárok|
True,|O|,|O|,|közösségét|,|közösségét|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Amikor|,|Amikor|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|ülést|,|ülést|
True,|O|,|O|,|vezető|,|vezető|
True,|O|,|O|,|elnök|,|elnök|
True,|O|,|O|,|helyet|,|helyet|
True,|O|,|O|,|foglal|,|foglal|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|teremben|,|teremben|
True,|O|,|O|,|lévők|,|lévők|
True,|O|,|O|,|is|,|is|
True,|O|,|O|,|leülnek|,|leülnek.|
huspacy,|O|,,|.|,
True,|O|,|O|,|)|,|)|
True,|O|,|O|,|Tisztelt|,|Tisztelt|
True,|O|,|O|,|Képviselőtársaim|,|Képviselőtársaim|
True,|O|,|O|,|!|,|!|
True,|O|,|O|,|Az|,|Az|
True,|O|,|O|,|nyári|,|nyári|
True,|O|,|O|,|rendkívüli|,|rendkívüli|
True,|O|,|O|,|ülésének|,|ülésének|
True,|O|,|O|,|1.|,|1.|
True,|O|,|O|,|ülésnapját|,|ülésnapját|
True,|O|,|O|,|megnyitom|,|megnyitom|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Tájékoztatom|,|Tájékoztatom|
True,|O|,|O|,|önöket|,|önöket|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|ülés|,|ülés|
True,|O|,|O|,|vezetésében|,|vezetésében|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|jegyző|,|jegyző|
True,|O|,|O|,|urak|,|urak|
True,|O|,|O|,|lesznek|,|lesznek|
True,|O|,|O|,|segítségemre|,|segítségemre|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Köszöntök|,|Köszöntök|
True,|O|,|O|,|mindenkit|,|mindenkit|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|aki|,|aki|
True,|O|,|O|,|figyelemmel|,|figyelemmel|
True,|O|,|O|,|kíséri|,|kíséri|
True,|O|,|O|,|munkánkat|,|munkánkat|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Tisztelt|,|Tisztelt|
False,|O|,|B-ORG|,|Ház|,|Ház|
True,|O|,|O|,|!|,|!|
True,|O|,|O|,|Tájékoztatom|,|Tájékoztatom|
True,|O|,|O|,|önöket|,|önöket|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|kormány|,|kormány|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|szóló|,|szóló|
True,|O|,|O|,|törvény|,|törvény|
True,|O|,|O|,|35.|,|35.|
True,|O|,|O|,|§|,|§|
True,|O|,|O|,|(|,|(|
True,|O|,|O|,|1|,|1)|
huspacy,|O|,,|)|,
True,|O|,|O|,|bekezdésében|,|bekezdésében|
True,|O|,|O|,|foglaltak|,|foglaltak|
True,|O|,|O|,|alapján|,|alapján|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|rendkívüli|,|rendkívüli|
True,|O|,|O|,|ülésének|,|ülésének|
True,|O|,|O|,|összehívását|,|összehívását|
True,|O|,|O|,|kezdeményezte|,|kezdeményezte|
True,|O|,|O|,|2022.|,|2022.|
True,|O|,|O|,|június|,|június|
True,|O|,|O|,|20-a|,|20-a|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|június|,|június|
True,|O|,|O|,|24e|,|24e|
True,|O|,|O|,|közötti|,|közötti|
True,|O|,|O|,|időre|,|időre|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|levelet|,|levelet|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|annak|,|annak|
True,|O|,|O|,|mellékletét|,|mellékletét|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|valamint|,|valamint|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|képviselőcsoportjának|,|képviselőcsoportjának|
True,|O|,|O|,|indítványát|,|indítványát|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|rendkívüli|,|rendkívüli|
True,|O|,|O|,|ülés|,|ülés|
True,|O|,|O|,|napirendi|,|napirendi|
True,|O|,|O|,|javaslatának|,|javaslatának|
True,|O|,|O|,|kiegészítésére|,|kiegészítésére|
True,|O|,|O|,|vonatkozóan|,|vonatkozóan|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|honlapon|,|honlapon|
True,|O|,|O|,|megismerhették|,|megismerhették|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Tisztelt|,|Tisztelt|
True,|O|,|O|,|!|,|!|
True,|O|,|O|,|Most|,|Most|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|napirend|,|napirend|
True,|O|,|O|,|előtti|,|előtti|
True,|O|,|O|,|hozzászólásokra|,|hozzászólásokra|
True,|O|,|O|,|kerül|,|kerül|
True,|O|,|O|,|sor|,|sor|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Elsőként|,|Elsőként|
True,|O|,|O|,|frakcióvezető|,|frakcióvezető|
True,|O|,|O|,|úrnak|,|úrnak|
True,|O|,|O|,|adom|,|adom|
True,|O|,|O|,|meg|,|meg|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|szót|,|szót|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|részéről|,|részéről|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Parancsoljon|,|Parancsoljon|
True,|O|,|O|,|!|,|!|
True,|O|,|O|,|(|,|(|
True,|O|,|O|,|):|,|):|
True,|O|,|O|,|Köszönöm|,|Köszönöm|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|szót|,|szót|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Tisztelt|,|Tisztelt|
True,|O|,|O|,|!|,|!|
True,|O|,|O|,|Összességében|,|Összességében|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|1990|,|1990|
True,|O|,|O|,|óta|,|óta|
True,|O|,|O|,|tartó|,|tartó|
True,|O|,|O|,|folyamat|,|folyamat|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amely|,|amely|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|EU-integráció|,|EU-integráció|
True,|O|,|O|,|folyamata|,|folyamata|
True,|O|,|O|,|volt|,|volt|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|nagyon|,|nagyon|
True,|O|,|O|,|sok|,|sok|
True,|O|,|O|,|előnnyel|,|előnnyel|
True,|O|,|O|,|járt|,|járt|
True,|O|,|O|,|számára|,|számára|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|tervgazdaság|,|tervgazdaság|
True,|O|,|O|,|romjain|,|romjain|
True,|O|,|O|,|kialakult|,|kialakult|
True,|O|,|O|,|egy|,|egy|
True,|O|,|O|,|olyan|,|olyan|
True,|O|,|O|,|gazdaság|,|gazdaság|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amelyben|,|amelyben|
True,|O|,|O|,|több|,|több|
True,|O|,|O|,|szabadsága|,|szabadsága|
True,|O|,|O|,|van|,|van|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|embereknek|,|embereknek|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|helyzet|,|helyzet|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|elmúlt|,|elmúlt|
True,|O|,|O|,|12|,|12|
True,|O|,|O|,|év|,|év|
True,|O|,|O|,|tulajdonképpen|,|tulajdonképpen|
True,|O|,|O|,|arról|,|arról|
True,|O|,|O|,|szólt|,|szólt|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|nemzetközi|,|nemzetközi|
True,|O|,|O|,|neoliberális|,|neoliberális|
True,|O|,|O|,|gazdasági|,|gazdasági|
True,|O|,|O|,|rendszerbe|,|rendszerbe|
True,|O|,|O|,|sikeresen|,|sikeresen|
True,|O|,|O|,|betagozódjon|,|betagozódjon|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|ország|,|ország|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|de|,|de|
True,|O|,|O|,|nagyon|,|nagyon|
True,|O|,|O|,|keveset|,|keveset|
True,|O|,|O|,|beszéltünk|,|beszéltünk|
True,|O|,|O|,|azokról|,|azokról|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|hátrányokról|,|hátrányokról|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amelyeket|,|amelyeket|
True,|O|,|O|,|ez|,|ez|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|elmúlt|,|elmúlt|
True,|O|,|O|,|30|,|30|
True,|O|,|O|,|év|,|év|
True,|O|,|O|,|okozott|,|okozott|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
