huspacy ner == emagyar ner,husoacy ner,emagyar ner,huspacy token,emagyar token
False,|B-ORG|,|O|,|ELNÖK|,|ELNÖK|
False,|O|,|B-ORG|,|Ház|,|Ház|
False,|B-ORG|,|O|,|Országgyűlésről|,|Országgyűlésről|
False,|B-MISC|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-ORG|,|O|,|UNGÁR|,|UNGÁR|
False,|I-ORG|,|O|,|PÉTER|,|PÉTER|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-MISC|,|O|,|Földért|,|Földért|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-ORG|,|B-LOC|,|Egyesült|,|Egyesült|
False,|I-ORG|,|I-LOC|,|Államokkal|,|Államokkal|
False,|B-ORG|,|O|,|Tanács|,|Tanács|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-ORG|,|B-LOC|,|Magyarországnak|,|Magyarországnak|
False,|B-ORG|,|O|,|Audinak|,|Audinak|
False,|B-PER|,|O|,|FÓNAGY|,|FÓNAGY|
False,|I-PER|,|O|,|JÁNOS|,|JÁNOS|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|O|,|Napirend|,|Napirend|
False,|B-LOC|,|O|,|Brüsszelből|,|Brüsszelből|
False,|B-PER|,|O|,|Kunhalmi|,|Kunhalmi|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|O|,|Tordai|,|Tordai|
False,|I-PER|,|O|,|Bencének|,|Bencének|
False,|B-MISC|,|O|,|Párbeszéd|,|Párbeszéd|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-LOC|,|O|,|Finike|,|Finike|
False,|B-PER|,|O|,|Tordai|,|Tordai|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-MISC|,|O|,|Párbeszéd|,|Párbeszéd|
False,|B-MISC|,|O|,|Párbeszéd|,|Párbeszéd|
False,|B-MISC|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-LOC|,|O|,|Finike|,|Finike|
False,|B-LOC|,|O|,|Derültség|,|Derültség|
False,|B-MISC|,|B-ORG|,|Párbeszéd|,|Párbeszéd|
False,|B-ORG|,|O|,|Párbeszéd|,|Párbeszéd|
False,|B-MISC|,|O|,|Papamonatot|,|Papamonatot|
False,|B-PER|,|O|,|VITÁLYOS|,|VITÁLYOS|
False,|I-PER|,|O|,|ESZTER|,|ESZTER|
False,|O|,|B-ORG|,|Elnök|,|Elnök|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-MISC|,|O|,|Az|,|Az|
False,|I-MISC|,|B-ORG|,|Európai|,|Európai|
False,|I-MISC|,|I-ORG|,|Unióban|,|Unióban|
False,|B-MISC|,|B-LOC|,|Magyarország|,|Magyarország|
False,|I-MISC|,|O|,|Alaptörvénye|,|Alaptörvénye|
False,|B-LOC|,|B-ORG|,|Unióban|,|Unióban|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-MISC|,|O|,|DÓCS|,|DÓCS|
False,|I-MISC|,|O|,|DÁVID|,|DÁVID|
False,|O|,|B-PER|,|Mi|,|Mi|
False,|B-ORG|,|I-PER|,|Hazánk|,|Hazánk|
False,|O|,|B-ORG|,|Elnök|,|Elnök|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-PER|,|B-ORG|,|Belügyminiszter|,|Belügyminiszter|
False,|I-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|O|,|Betadine-t|,|Betadine-t|
False,|B-LOC|,|O|,|Komplett|,|Komplett|
False,|B-ORG|,|O|,|A|,|A|
False,|I-ORG|,|B-ORG|,|Mi|,|Mi|
False,|B-MISC|,|B-ORG|,|Mi|,|Mi|
False,|I-MISC|,|I-ORG|,|Hazánk|,|Hazánk|
False,|I-MISC|,|O|,|soraiban|,|soraiban.|
False,|B-PER|,|O|,|RÉTVÁRI|,|RÉTVÁRI|
False,|I-PER|,|O|,|BENCE|,|BENCE|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|O|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-MISC|,|O|,|Jobbiknak|,|Jobbiknak|
False,|B-PER|,|O|,|KOMJÁTHI|,|KOMJÁTHI|
False,|I-PER|,|O|,|IMRE|,|IMRE|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|Atyaúristen|,|Atyaúristen|
False,|B-ORG|,|O|,|Tungsram|,|Tungsram|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|Mészáros|,|Mészáros|
False,|B-PER|,|O|,|Garancsi|,|Garancsi|
False,|B-PER|,|O|,|Szíjj|,|Szíjj|
False,|B-PER|,|O|,|Tiborcz|,|Tiborcz|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-PER|,|O|,|DÖMÖTÖR|,|DÖMÖTÖR|
False,|I-PER|,|O|,|CSABA|,|CSABA|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|O|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|O|,|Kormányinfón|,|Kormányinfón|
False,|B-PER|,|O|,|Dr.|,|Dr.|
False,|I-PER|,|B-PER|,|Latorcai|,|Latorcai|
False,|B-ORG|,|O|,|Momentum|,|Momentum|
False,|B-ORG|,|O|,|Momentum|,|Momentum|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|Fürjes|,|Fürjes|
False,|I-PER|,|O|,|Balázst|,|Balázst|
False,|B-ORG|,|O|,|Miniszterelnökség|,|Miniszterelnökség|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-MISC|,|O|,|Országgyűlésben|,|Országgyűlésben|
False,|B-LOC|,|O|,|Buda|,|Buda|
False,|B-LOC|,|O|,|Hegyvidék|,|Hegyvidék|
False,|B-MISC|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-ORG|,|O|,|János|,|János|
False,|I-ORG|,|O|,|Kórház|,|Kórház|
False,|B-LOC|,|O|,|Buda|,|Buda|
False,|B-PER|,|O|,|Fürjes|,|Fürjes|
False,|B-ORG|,|O|,|János|,|János|
False,|I-ORG|,|O|,|Kórház|,|Kórház|
False,|B-LOC|,|B-ORG|,|János|,|János|
False,|I-LOC|,|I-ORG|,|Kórház|,|Kórház|
False,|B-MISC|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-ORG|,|O|,|Momentum|,|Momentum|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-PER|,|O|,|RÉTVÁRI|,|RÉTVÁRI|
False,|I-PER|,|O|,|BENCE|,|BENCE|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-PER|,|O|,|Fürjes|,|Fürjes|
False,|I-PER|,|O|,|Balázs|,|Balázs|
False,|B-ORG|,|O|,|DK-val|,|DK-val|
False,|O|,|B-ORG|,|CT|,|CT|
False,|B-MISC|,|O|,|Egészséges|,|Egészséges|
False,|I-MISC|,|B-LOC|,|Budapest|,|Budapest|
False,|B-LOC|,|O|,|Budapestre|,|Budapestre|
False,|B-PER|,|O|,|Hagyó|,|Hagyó|
False,|I-PER|,|O|,|Miklós-i|,|Miklós-i|
False,|B-LOC|,|O|,|Bel-Budáról|,|Bel-Budáról|
False,|B-MISC|,|O|,|Egészséges|,|Egészséges|
False,|I-MISC|,|B-LOC|,|Budapest|,|Budapest|
False,|B-ORG|,|B-PER|,|Szent|,|Szent|
False,|I-ORG|,|I-PER|,|János|,|János|
False,|I-ORG|,|O|,|Kórházat|,|Kórházat|
False,|B-ORG|,|O|,|Észak-budai|,|Észak-budai|
False,|I-ORG|,|O|,|Ellátási|,|Ellátási|
False,|I-ORG|,|O|,|Centrumot|,|Centrumot|
False,|B-ORG|,|O|,|BKK|,|BKK|
False,|B-PER|,|O|,|Fürjes|,|Fürjes|
False,|I-PER|,|O|,|Balázshoz|,|Balázshoz|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|O|,|B-ORG|,|Elnök|,|Elnök|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-PER|,|O|,|Bezzeg|,|Bezzeg|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|Kezdjük|,|Kezdjük|
False,|B-ORG|,|O|,|Rezsivédelmi|,|Rezsivédelmi|
False,|I-ORG|,|O|,|és|,|és|
False,|I-ORG|,|O|,|a|,|a|
False,|I-ORG|,|B-ORG|,|Honvédelmi|,|Honvédelmi|
False,|B-PER|,|O|,|Orbán|,|Orbán|
False,|B-MISC|,|O|,|Európa-rekorder|,|Európa-rekorder|
False,|B-PER|,|O|,|Orbán|,|Orbán|
False,|B-ORG|,|O|,|Jobbiknak|,|Jobbiknak|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
